;Unnamed: 0;year;school_name;class_name;class_symbol;class_type;class_size;occupation;available_languages;extended_subjects;points_stats_min;points_stats_avg;points_stats_max
0;0;2021;I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego;[O] hist-ang-pol (ang-fra*,hisz*,niem*);1A_(pol+hist+ang);ogólnodostępny;30;;ang,fra,hisz,niem;hist,ang,pol;132,90;143,27;155,20
1;1;2021;I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego;[O] inf-ang-mat (ang-fra*,hisz*,niem*);1B_(mat+info+ang);ogólnodostępny;30;;ang,fra,hisz,niem;inf,ang,mat;161,65;164,77;170,80
2;2;2021;I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego;[O] hist-ang-wos (ang-fra*,hisz*,niem*);1C_(hist+wos+ang);ogólnodostępny;30;;ang,fra,hisz,niem;hist,ang,wos;132,90;141,46;157,60
3;3;2021;I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego;[O] geogr-ang-mat (ang-fra*,hisz*,niem*);1E_(mat+geo+ang);ogólnodostępny;30;;ang,fra,hisz,niem;geogr,ang,mat;149,85;155,05;165,00
4;4;2021;I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego;[O] biol-chem-ang (ang-fra*,hisz*,niem*);1F_(biol+chem+ang);ogólnodostępny;30;;ang,fra,hisz,niem;biol,chem,ang;144,45;150,24;172,85
5;5;2021;I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego;[O] geogr-ang-wos (ang-fra*,hisz*,niem*);1G_(geo+wos+ang);ogólnodostępny;30;;ang,fra,hisz,niem;geogr,ang,wos;142,25;149,09;166,85
6;6;2021;III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego;[O] pol-hist-hiszp (hisz*-ang);1A;ogólnodostępny;30;;hisz,ang;pol,hist,hiszp;132,20;142,20;173,65
7;7;2021;III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego;[O] hist-ang-pol (ang-fra*);1B;ogólnodostępny;30;;ang,fra;hist,ang,pol;129,75;140,31;162,70
8;8;2021;III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego;[O] geogr-mat-ang (ang-hisz*);1C;ogólnodostępny;30;;ang,hisz;geogr,mat,ang;148,05;156,24;170,70
9;9;2021;III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego;[O] mat-inf-fiz (ang-ros*);1D;ogólnodostępny;30;;ang,ros;mat,inf,fiz;139,70;147,96;168,10
